810 8TH STREET, THREE RIVERS, MICHIGAN,49093,31400,41.934292,-85.624606,0,0.0,0.0
416 RIVER STREET, THREE RIVERS, MICHIGAN,49093,34200,41.939903,-85.629451,0,0.0,0.0
301 EAST STREET, THREE RIVERS, MICHIGAN,49093,42200,41.948587,-85.633374,0,0.0,0.0
13708 HOFFMAN ROAD, THREE RIVERS, MICHIGAN,49093,9600,41.968598,-85.70127,0,0.0,0.0
58479 COUNTY LINE RD, THREE RIVERS, MICHIGAN,49093,4000,41.946866,-85.760587,0,0.0,0.0
57901 PATTERSON LANE, THREE RIVERS, MICHIGAN,49093,5000,41.956531,-85.60187,0,0.0,0.0
57947 OAK PARK ROAD, THREE RIVERS, MICHIGAN,49093,35100,41.954066,-85.580862,0,0.0,0.0
1151 WEST PRINCETON AVENUE, FLINT, MICHIGAN,48505,9700,43.08561,-83.699856,0,0.0,0.0
338 ALLENDALE PLACE, FLINT, MICHIGAN,48503,22700,43.012247,-83.726918,1895,1.0,3.0
3249 DAKOTA AVENUE, FLINT, MICHIGAN,48506,12200,43.041719,-83.646498,930,1.0,3.0
1348 W GENESEE AVENUE, FLINT, MICHIGAN,48505,5400,43.082451,-83.70722,0,0.0,0.0
2010 THOM, FLINT, MICHIGAN,48506,0,43.043403,-83.664212,592,1.0,1.0
937 S BALLENGER HIGHWAY, FLINT, MICHIGAN,48532,7800,43.005729,-83.733117,600,1.0,0.0
1025 Darling STREET, FLINT, MICHIGAN,48532,13000,43.003832,-83.73682,1672,1.0,4.0
1425 Waldman AVENUE, FLINT, MICHIGAN,48507,7600,42.98895,-83.699059,789,1.0,2.0
1707 E atherton ROAD, FLINT, MICHIGAN,48507,4500,42.989403,-83.645842,855,1.0,2.0
1726 Missouri Ave, FLINT, MICHIGAN,48506,7400,43.028524,-83.667209,886,1.0,2.0
1514 N Lynch St, FLINT, MICHIGAN,48506,9200,43.030393,-83.659518,1323,1.0,3.0
1905 Kansas Ave, FLINT, MICHIGAN,48506,4000,43.026618,-83.664838,880,1.0,2.0
306 JOHN STREET, STURGIS, MICHIGAN,49091,32000,41.799855,-85.422817,0,0.0,0.0
408 NORTH FOURTH STREET, STURGIS, MICHIGAN,49091,28100,41.805833,-85.414847,0,0.0,0.0
207 EAST HATCH, STURGIS, MICHIGAN,49091,23500,41.803843,-85.415421,0,0.0,0.0
305 JOHN STREET, STURGIS, MICHIGAN,49091,36400,41.799579,-85.422799,0,0.0,0.0
215 ELLERMAN STREET, STURGIS, MICHIGAN,49091,25000,41.806975,-85.423249,0,0.0,0.0
70360 SHIMMEL ROAD, STURGIS, MICHIGAN,49091,55400,41.771854,-85.505776,0,0.0,0.0
70074 CARLS ROAD, STURGIS, MICHIGAN,49091,60700,41.77508,-85.349996,0,0.0,0.0
602 WENZEL STREET, STURGIS, MICHIGAN,49091,23400,41.793943,-85.427213,0,0.0,0.0
207 SOUTH MAPLE STREET, STURGIS, MICHIGAN,49091,7500,41.795253,-85.415905,0,0.0,0.0
700 LANCHASHIRE DRIVE, STURGIS, MICHIGAN,49091,0,41.814597,-85.410194,0,0.0,0.0
427 CENTER STREET, STURGIS, MICHIGAN,49091,18500,41.806983,-85.411564,0,0.0,0.0
